Date,Open,High,Low,Close,Adj Close,Volume
1/1/2004,57.299999,57.299999,57.299999,57.299999,57.299999,0
1/2/2004,55.437,57.099998,55.437,57.099998,57.099998,0
1/5/2004,55.416,55.416,55.416,57.099998,57.099998,0
1/6/2004,55.258999,55.258999,55.258999,57.099998,57.099998,0
1/7/2004,57.349998,57.349998,57.349998,57.349998,57.349998,0
1/8/2004,55.335999,55.335999,55.335999,57.349998,57.349998,0
1/9/2004,55.325001,57.349998,55.325001,57.349998,57.349998,0
1/12/2004,57.349998,57.349998,57.349998,57.349998,57.349998,0
1/13/2004,55.486,55.486,55.486,57.349998,57.349998,0
1/14/2004,55.439999,55.439999,55.439999,57.349998,57.349998,0
1/15/2004,55.391998,55.391998,55.391998,57.349998,57.349998,0
1/16/2004,55.481998,55.481998,55.481998,57.349998,57.349998,0
1/19/2004,57.299999,57.299999,57.299999,57.299999,57.299999,0
1/20/2004,55.145,55.145,55.145,57.299999,57.299999,0
1/21/2004,55.297001,55.297001,55.297001,57.299999,57.299999,0
1/22/2004,55.303001,55.303001,55.303001,57.299999,57.299999,0
1/23/2004,55.458,55.458,55.458,57.299999,57.299999,0
1/26/2004,57.299999,57.299999,57.299999,57.299999,57.299999,0
1/27/2004,57.200001,57.200001,57.200001,57.200001,57.200001,0
1/28/2004,55.234001,55.234001,55.234001,57.200001,57.200001,0
1/29/2004,55.241001,55.241001,55.241001,57.200001,57.200001,0
1/30/2004,55.152,55.152,55.152,57.200001,57.200001,0
2/2/2004,55.327999,55.327999,55.327999,57.200001,57.200001,0
2/3/2004,56.900002,56.900002,56.900002,55.258999,55.258999,0
2/4/2004,55.258999,55.258999,55.258999,56.900002,56.900002,0
2/5/2004,55.208,55.208,55.208,56.900002,56.900002,0
2/6/2004,55.426998,55.426998,55.426998,56.900002,56.900002,0
2/9/2004,57.200001,57.200001,55.563999,57.200001,57.200001,0
2/10/2004,55.261002,55.261002,55.261002,57.200001,57.200001,0
2/11/2004,55.268002,57,55.268002,57,57,0
2/12/2004,55.307999,55.307999,55.307999,57,57,0
2/13/2004,55.286999,57,55.286999,57,57,0
2/16/2004,55.347,55.347,55.347,57,57,0
2/17/2004,55.410999,55.410999,55.410999,57,57,0
2/18/2004,55.417,55.417,55.417,57,57,0
2/19/2004,57.18,57.18,57.18,57.18,57.18,0
2/20/2004,57.240002,57.240002,57.240002,55.622002,55.622002,0
2/23/2004,55.313,55.313,55.313,57.240002,57.240002,0
2/24/2004,55.297001,55.297001,55.297001,57.240002,57.240002,0
2/25/2004,55.375,55.375,55.375,57.240002,57.240002,0
2/26/2004,57.27,57.27,57.27,57.27,57.27,0
2/27/2004,57.32,57.32,57.32,57.32,57.32,0
3/1/2004,57.32,57.32,57.32,57.32,57.32,0
3/2/2004,57.200001,57.200001,57.200001,57.200001,57.200001,0
3/3/2004,55.328999,55.328999,55.328999,57.200001,57.200001,0
3/4/2004,55.303001,55.303001,55.303001,57.200001,57.200001,0
3/5/2004,55.326,55.326,55.326,55.326,55.326,0
3/8/2004,57.200001,57.200001,57.200001,57.200001,57.200001,0
3/9/2004,55.208,57.200001,55.208,57.200001,57.200001,0
3/10/2004,55.208,55.208,55.208,57.200001,57.200001,0
3/11/2004,55.191002,55.191002,55.191002,57.200001,57.200001,0
3/12/2004,57.25,57.25,57.25,57.25,57.25,0
3/15/2004,57.400002,57.400002,55.243999,57.400002,57.400002,0
3/16/2004,55.410999,55.410999,55.410999,57.400002,57.400002,0
3/17/2004,55.401001,55.401001,55.401001,57.400002,57.400002,0
3/18/2004,55.324001,55.324001,55.324001,57.400002,57.400002,0
3/19/2004,55.284,55.284,55.284,57.400002,57.400002,0
3/22/2004,55.261002,57.200001,55.261002,57.200001,57.200001,0
3/23/2004,55.376999,55.376999,55.376999,57.200001,57.200001,0
3/24/2004,57.349998,57.349998,55.438999,57.349998,57.349998,0
3/25/2004,55.153999,55.153999,55.153999,57.349998,57.349998,0
3/26/2004,55.205002,55.205002,55.205002,57.349998,57.349998,0
3/29/2004,55.279999,55.279999,55.279999,57.349998,57.349998,0
3/30/2004,55.495998,55.495998,55.495998,57.349998,57.349998,0
3/31/2004,55.407001,57.080002,55.407001,57.080002,57.080002,0
4/1/2004,55.412998,55.412998,55.412998,57.080002,57.080002,0
4/2/2004,55.353001,55.353001,55.353001,57.080002,57.080002,0
4/5/2004,57.299999,57.299999,55.355999,57.25,57.25,0
4/6/2004,55.205002,55.205002,55.205002,57.25,57.25,0
4/7/2004,55.237999,55.237999,55.237999,57.25,57.25,0
4/8/2004,55.316002,55.316002,55.316002,57.25,57.25,0
4/9/2004,57.25,57.25,57.25,57.25,57.25,0
4/12/2004,null,null,null,null,null,null
4/13/2004,57.25,57.25,55.202999,57.25,57.25,0
4/14/2004,55.195,55.195,55.195,57.25,57.25,0
4/15/2004,57.349998,57.380001,57.349998,57.380001,57.380001,0
4/16/2004,55.165001,55.165001,55.165001,57.380001,57.380001,0
4/19/2004,57.200001,57.200001,55.203999,57.200001,57.200001,0
4/20/2004,55.165001,55.227001,55.165001,57.200001,57.200001,0
4/21/2004,55.337002,55.337002,55.337002,57.349998,57.349998,0
4/22/2004,55.224998,55.224998,55.224998,57.349998,57.349998,0
4/23/2004,55.306,55.306,55.306,57.349998,57.349998,0
4/26/2004,57.439999,57.439999,55.252998,57.439999,57.439999,0
4/27/2004,57.450001,57.450001,55.311001,57.450001,57.450001,0
4/28/2004,57.459999,57.48,55.223999,57.48,57.48,0
4/29/2004,57.41,57.41,55.338001,57.41,57.41,0
4/30/2004,57.43,57.43,55.103001,57.43,57.43,0
5/3/2004,55.183998,55.183998,55.183998,57.43,57.43,0
5/4/2004,55.249001,55.249001,55.249001,57.43,57.43,0
5/5/2004,57.470001,57.470001,55.299,57.470001,57.470001,0
5/6/2004,57.509998,57.509998,55.594002,57.509998,57.509998,0
5/7/2004,55.466,55.466,55.466,55.466,55.466,0
5/10/2004,55.313,55.313,55.313,57.509998,57.509998,0
5/11/2004,55.409,55.409,55.409,57.25,57.25,0
5/12/2004,55.577,55.577,55.577,57.25,57.25,0
5/13/2004,55.573002,55.573002,55.573002,57.25,57.25,0
5/14/2004,57.68,57.68,55.566002,57.68,57.68,0
5/17/2004,57.549999,57.549999,55.674999,57.549999,57.549999,0
5/18/2004,55.662998,55.662998,55.662998,57.549999,57.549999,0
5/19/2004,55.620998,55.620998,55.620998,57.549999,57.549999,0
5/20/2004,57.549999,57.549999,57.549999,57.549999,57.549999,0
5/21/2004,55.672001,55.707001,55.672001,57.549999,57.549999,0
5/24/2004,55.570999,55.570999,55.570999,57.549999,57.549999,0
5/25/2004,57.650002,57.650002,55.575001,57.650002,57.650002,0
5/26/2004,55.500999,55.500999,55.500999,57.650002,57.650002,0
5/27/2004,55.612,55.612,55.612,57.650002,57.650002,0
5/28/2004,55.658001,55.658001,55.658001,57.650002,57.650002,0
5/31/2004,57.650002,57.650002,57.650002,57.650002,57.650002,0
6/1/2004,57.689999,57.689999,55.671001,57.689999,57.689999,0
6/2/2004,55.702999,55.702999,55.702999,57.689999,57.689999,0
6/3/2004,57.73,57.73,55.734001,57.73,57.73,0
6/4/2004,55.778,55.778,55.778,57.73,57.73,0
6/7/2004,55.798,55.798,55.798,57.5,57.5,0
6/8/2004,55.757,56.02,55.757,56.02,56.02,0
6/9/2004,57.650002,57.650002,55.731998,57.650002,57.650002,0
6/10/2004,55.721001,55.752998,55.721001,57.650002,57.650002,0
6/11/2004,55.909,55.909,55.709,57.650002,57.650002,0
6/14/2004,55.868,57.650002,55.806999,57.650002,57.650002,0
6/15/2004,55.522999,57.75,55.522999,57.75,57.75,0
6/16/2004,57.799999,57.799999,55.820999,57.799999,57.799999,0
6/17/2004,55.849998,55.849998,55.849998,57.799999,57.799999,0
6/18/2004,56.136002,57.849998,55.851002,57.849998,57.849998,0
6/21/2004,55.347,57.939999,55.347,57.939999,57.939999,0
6/22/2004,55.933998,55.933998,55.933998,57.939999,57.939999,0
6/23/2004,55.688,56.035999,55.601002,57.939999,57.939999,0
6/24/2004,56.096001,58,56.015999,58,58,0
6/25/2004,56.008999,56.008999,56.008999,58,58,0
6/28/2004,55.903,56.191002,55.903,58,58,0
6/29/2004,56.145,56.153999,56.087002,58,58,0
6/30/2004,56.421001,56.421001,56.084999,58,58,0
7/1/2004,56.000999,56.000999,56.000999,58,58,0
7/2/2004,56.068001,56.068001,56.068001,58,58,0
7/5/2004,55.304001,56.287998,55.304001,57.73,57.73,0
7/6/2004,58.099998,58.099998,55.963001,58.099998,58.099998,0
